Date,Open,High,Low,Close,Volume
2012-11-12,226.59,229.22,225.41,226.47,2129405.0
2012-11-13,225.1,227.9,224.71,226.6,2629797.0
2012-11-14,226.5,227.41,222.51,222.95,3034084.0
2012-11-15,222.3,225.16,218.18,220.6,3404622.0
2012-11-16,221.31,226.25,218.64,225.23,4353500.0
2012-11-19,228.32,232.5,227.45,229.71,3591621.0
2012-11-20,230.0,233.82,229.5,233.78,2772403.0
2012-11-21,233.84,238.67,232.75,238.03,2959294.0
2012-11-23,239.89,240.0,236.48,239.88,1776744.0
2012-11-26,240.33,244.32,238.0,243.62,4178797.0
2012-11-27,243.22,245.67,241.54,243.4,3048476.0
2012-11-28,242.45,247.23,241.5,247.11,2743396.0
2012-11-29,248.05,252.48,247.5,251.27,5313277.0
2012-11-30,250.38,252.65,248.27,252.05,3797416.0
2012-12-03,252.53,254.16,250.0,250.33,2990693.0
2012-12-04,250.13,253.0,248.66,252.49,3116172.0
2012-12-05,252.44,255.55,250.38,253.96,2852687.0
2012-12-06,253.0,255.17,251.51,253.37,3557822.0
2012-12-07,254.13,255.21,252.01,253.27,2170360.0
2012-12-10,253.1,254.78,247.3,247.77,3504707.0
2012-12-11,248.31,253.48,246.65,250.69,4184618.0
2012-12-12,251.07,254.36,250.06,251.76,2628123.0
2012-12-13,251.11,254.54,250.02,251.25,2461496.0
2012-12-14,250.11,251.9,247.79,249.19,2526988.0
2012-12-17,249.81,254.0,249.26,253.86,2276934.0
2012-12-18,254.57,263.11,254.57,260.4,4961011.0
2012-12-19,261.3,261.67,257.68,257.99,2300721.0
2012-12-20,258.32,262.41,256.54,261.5,2584595.0
2012-12-21,257.6,258.38,255.74,256.92,4704502.0
2012-12-24,257.3,259.5,256.96,258.62,986435.0
2012-12-26,257.15,257.42,248.04,248.63,4152742.0
2012-12-27,248.28,249.35,242.86,248.31,3640082.0
2012-12-28,245.85,247.44,245.05,245.18,1862498.0
2012-12-31,243.75,252.41,242.75,250.87,3418957.0
2013-01-02,256.04,258.1,253.26,257.31,3271079.0
2013-01-03,257.19,260.88,256.37,258.48,2751061.0
2013-01-04,257.58,259.8,256.65,259.15,1874711.0
2013-01-07,262.97,269.73,262.67,268.46,4910274.0
2013-01-08,267.07,268.98,263.57,266.38,3012056.0
2013-01-09,268.17,269.5,265.4,266.35,2265691.0
2013-01-10,268.54,268.74,262.3,265.34,2864598.0
2013-01-11,265.07,268.43,264.11,267.94,2413264.0
2013-01-14,268.0,274.26,267.54,272.73,4263807.0
2013-01-15,270.68,272.73,269.3,271.9,2327154.0
2013-01-16,270.53,271.24,267.83,268.93,2066092.0
2013-01-17,271.5,271.97,269.21,270.48,1884883.0
2013-01-18,270.89,274.5,269.6,272.12,2944198.0
2013-01-22,271.62,272.1,269.23,270.19,2138962.0
2013-01-23,270.57,271.09,266.65,268.11,2509597.0
2013-01-24,269.37,276.65,269.37,273.62,3414846.0
2013-01-25,275.0,284.72,274.4,283.99,4971234.0
2013-01-28,283.78,284.48,274.4,276.04,4321621.0
2013-01-29,275.35,275.46,258.35,260.35,10129193.0
2013-01-30,283.0,284.2,267.11,272.76,13078805.0
2013-01-31,271.04,275.94,263.7,265.5,6772592.0
2013-02-01,268.32,268.93,262.8,265.0,6115731.0
2013-02-04,262.78,264.68,259.07,259.98,3723793.0
2013-02-05,262.0,268.03,261.46,266.89,4013030.0
2013-02-06,265.16,266.89,261.11,262.22,2770506.0
2013-02-07,264.1,264.1,255.11,260.23,3976115.0
2013-02-08,261.4,265.25,260.55,261.95,3879178.0
2013-02-11,263.2,263.25,256.6,257.21,3403903.0
2013-02-12,259.19,260.16,257.0,258.7,2943615.0
2013-02-13,261.53,269.96,260.3,269.47,5295157.0
2013-02-14,267.41,270.65,265.4,269.24,3463180.0
2013-02-15,267.66,268.92,263.11,265.09,3980892.0
2013-02-19,265.91,270.11,264.5,269.75,2855002.0
2013-02-20,270.2,274.3,266.37,266.41,3530656.0
2013-02-21,265.12,269.48,263.25,265.94,3637395.0
2013-02-22,266.62,267.11,261.61,265.42,3124702.0
2013-02-25,266.94,268.69,259.65,259.87,3032509.0
2013-02-26,260.89,262.04,255.73,259.36,3348560.0
2013-02-27,259.4,265.83,256.86,263.25,2908010.0
2013-02-28,261.81,267.0,260.63,264.27,2667349.0
2013-03-01,263.27,266.6,261.04,265.74,2956964.0
2013-03-04,265.36,273.3,264.14,273.11,3454394.0
2013-03-05,274.0,276.68,269.99,275.59,3687183.0
2013-03-06,275.76,276.49,271.83,273.79,2050652.0
2013-03-07,274.1,274.8,271.85,273.88,1938987.0
2013-03-08,275.0,275.44,271.5,274.19,1880017.0
2013-03-11,273.43,273.99,270.4,271.24,1905076.0
2013-03-12,271.0,277.4,270.36,274.13,3246856.0
2013-03-13,275.35,276.5,272.64,275.1,1884200.0
2013-03-14,269.67,270.0,263.53,265.74,5227305.0
